CSDUID,CSDNAME,CSDTYPE,CMHC_CSDUID
3534005,Bayham,MU,35R4060
3534010,Malahide,TP,35R4027
3534011,Aylmer,T,35R4022
3534020,Central Elgin,MU,3534020
3534021,St. Thomas,CY,3534021
3534024,Southwold,TP,3534024
3534030,Dutton/Dunwich,MU,35R3048
3534042,West Elgin,MU,35R3111
3536020,Chatham-Kent,MU,3536020
3536029,Moravian 47,IRI,3536029
3537001,Pelee,TP,35R0011
3537003,Leamington,MU,3537003
3537013,Kingsville,T,3537013
3537016,Essex,T,3537016
3537028,Amherstburg,T,3537028
3537034,LaSalle,T,3537034
3537039,Windsor,CY,3537039
3537048,Tecumseh,T,3537048
3537064,Lakeshore,T,3537064
3538003,St. Clair,TP,3538003
3538004,Walpole Island 46,IRI,3538004
3538007,Dawn-Euphemia,TP,35R3020
3538015,Brooke-Alvinston,MU,35R3041
3538016,Enniskillen,TP,35R3009
3538018,Oil Springs,VL,35R1052
3538019,Petrolia,T,35R4052
3538025,Sarnia 45,IRI,3538025
3538030,Sarnia,CY,3538030
3538031,Point Edward,VL,3538031
3538035,Plympton-Wyoming,T,35R3098
3538040,Lambton Shores,MU,3538040
3538043,Warwick,TP,35R3109
3538056,Kettle Point 44,IRI,3538056
3539002,Newbury,VL,35R1050
3539005,Southwest Middlesex,MU,35R3105
3539015,Strathroy-Caradoc,MU,3539015
3539017,Chippewas of the Thames First Nation 42,IRI,3539017
3539018,Munsee-Delaware Nation 1,IRI,3539018
3539021,Oneida 41,IRI,3539021
3539027,Thames Centre,MU,3539027
3539033,Middlesex Centre,MU,3539033
3539036,London,CY,3539036
3539041,North Middlesex,MU,35R3013
3539047,Adelaide-Metcalfe,TP,3539047
3539060,Lucan Biddulph,TP,35R3044
3540005,South Huron,MU,35R4015
3540010,Bluewater,MU,35R3049
3540025,Central Huron,MU,35R4070
3540028,Goderich,T,35R5002
3540040,Huron East,MU,35R4019
3540046,Howick,TP,35R3076
3540050,Morris-Turnberry,MU,35R3092
3540055,North Huron,TP,35R3018
3540063,Ashfield-Colborne-Wawanosh,TP,35R5001
3541004,South Bruce,MU,35R3062
3541015,Huron-Kinloss,TP,35R4005
3541024,Kincardine,MU,3541024
3541032,Brockton,MU,35R3054
3541043,Arran-Elderslie,MU,35R4006
3541045,Saugeen Shores,T,3541045
3541055,South Bruce Peninsula,T,35R4039
3541056,Chief's Point No. 28,IRI,3541056
3541057,Saugeen 29,IRI,3541057
3541060,Neyaashiinigmiing 27,IRI,3541060
3541069,Northern Bruce Peninsula,MU,35R3011
3542004,West Grey,MU,3542004
3542005,Southgate,TP,35R4041
3542015,Grey Highlands,MU,35R4021
3542029,Hanover,T,35R4042
3542037,Chatsworth,TP,35R4007
3542045,The Blue Mountains,T,35R4051
3542047,Meaford,MU,3542047
3542053,Georgian Bluffs,TP,3542053
3542059,Owen Sound,CY,3542059
3543003,Adjala-Tosorontio,TP,35R5029
3543005,Clearview,TP,35R3060
3543007,New Tecumseth,T,3543007
3543009,Springwater,TP,3543009
3543014,Bradford West Gwillimbury,T,3543014
3543015,Severn,TP,35R5027
3543017,Innisfil,T,3543017
3543019,Ramara,TP,35R4001
3543021,Essa,TP,35R4018
3543023,Oro-Medonte,TP,35R5009
3543031,Collingwood,T,3543031
3543042,Barrie,CY,3543042
3543050,Mnjikaning First Nation 32,IRI,3543050
3543052,Orillia,CY,3543052
3543064,Wasaga Beach,T,3543064
3543068,Tiny,TP,35R4011
