CTUID,CSDUID,CSDNAME,METCODE,METNAME_EN,NBHDCODE,NBHDNAME_EN,CMHC_CT,GeographyId
5220406.00,3512015,Quinte West,0122,Belleville,910,Quinte West (West),0406.00,01229100406.00
5220407.00,3512015,Quinte West,0122,Belleville,910,Quinte West (West),0407.00,01229100407.00
5220500.00,3512015,Quinte West,0122,Belleville,910,Quinte West (West),0500.00,01229100500.00
5220501.00,3512015,Quinte West,0122,Belleville,910,Quinte West (West),0501.00,01229100501.00
5220600.00,3512001,Tyendinaga,0122,Belleville,650,Belleville (Rural),0600.00,01226500600.00
5220700.00,3512020,Stirling-Rawdon,0122,Belleville,780,Quinte West (East),0700.00,01227800700.00
5430001.00,3529006,Brantford,0125,Brantford,750,Brantford West,0001.00,01257500001.00
5430002.01,3529006,Brantford,0125,Brantford,750,Brantford West,0002.01,01257500002.01
5430002.02,3529006,Brantford,0125,Brantford,750,Brantford West,0002.02,01257500002.02
5430002.03,3529006,Brantford,0125,Brantford,750,Brantford West,0002.03,01257500002.03
5430003.00,3529006,Brantford,0125,Brantford,750,Brantford West,0003.00,01257500003.00
5430004.00,3529006,Brantford,0125,Brantford,750,Brantford West,0004.00,01257500004.00
5430005.00,3529006,Brantford,0125,Brantford,150,Brantford Core,0005.00,01251500005.00
5430006.00,3529006,Brantford,0125,Brantford,150,Brantford Core,0006.00,01251500006.00
5430007.00,3529006,Brantford,0125,Brantford,150,Brantford Core,0007.00,01251500007.00
5430008.00,3529006,Brantford,0125,Brantford,300,Brantford East,0008.00,01253000008.00
5430009.00,3529006,Brantford,0125,Brantford,300,Brantford East,0009.00,01253000009.00
5430010.00,3529006,Brantford,0125,Brantford,300,Brantford East,0010.00,01253000010.00
5430011.01,3529006,Brantford,0125,Brantford,450,Terrace Hill,0011.01,01254500011.01
5430011.02,3529006,Brantford,0125,Brantford,600,Brantford North,0011.02,01256000011.02
5430011.03,3529006,Brantford,0125,Brantford,600,Brantford North,0011.03,01256000011.03
5430012.00,3529006,Brantford,0125,Brantford,450,Terrace Hill,0012.00,01254500012.00
5430013.00,3529006,Brantford,0125,Brantford,450,Terrace Hill,0013.00,01254500013.00
5430014.01,3529006,Brantford,0125,Brantford,600,Brantford North,0014.01,01256000014.01
5430014.02,3529006,Brantford,0125,Brantford,600,Brantford North,0014.02,01256000014.02
5430014.03,3529006,Brantford,0125,Brantford,600,Brantford North,0014.03,01256000014.03
5430014.04,3529006,Brantford,0125,Brantford,600,Brantford North,0014.04,01256000014.04
5430100.00,3529005,Brant,0125,Brantford,900,Brant,0100.00,01259000100.00
5430101.00,3529005,Brant,0125,Brantford,900,Brant,0101.00,01259000101.00
5430102.00,3529005,Brant,0125,Brantford,900,Brant,0102.00,01259000102.00
5430110.01,3529005,Brant,0125,Brantford,900,Brant,0110.01,01259000110.01
5430110.02,3529005,Brant,0125,Brantford,900,Brant,0110.02,01259000110.02
5430200.00,3529005,Brant,0125,Brantford,900,Brant,0200.00,01259000200.00
5430201.00,3529005,Brant,0125,Brantford,900,Brant,0201.00,01259000201.00
5430202.00,3529005,Brant,0125,Brantford,900,Brant,0202.00,01259000202.00
